Group,DisplayName,PeptideID
JNK,JNK1,RBL2_959_971
ERK,ERK2,RBL2_959_971
JNK,JNK2,RBL2_959_971
ERK,ERK7,RYR1_4317_4329
ERK,ERK5,RYR1_4317_4329
P38,P38B,KAPCG_192_206
P38,P38A,KAPCG_192_206
JNK,JNK1,KAPCG_192_206
JNK,JNK3,KAPCG_192_206
JNK,JNK2,KAPCG_192_206
P38,P38D,KAPCG_192_206
ERK,ERK2,KAPCG_192_206
P38,P38D,NEK3_158_170
P38,P38B,NEK3_158_170
P38,P38G,NEK3_158_170
ERK,ERK2,NEK3_158_170
JNK,JNK3,NEK3_158_170
P38,P38A,NEK3_158_170
JNK,JNK1,NEK3_158_170
JNK,JNK2,NEK3_158_170
ERK,ERK1,NEK3_158_170
ERK,ERK5,PRKDC_2618_2630
ERK,ERK7,PRKDC_2618_2630
ERK,ERK7,KCNA1_438_450
ERK,ERK7,ACM5_494_506
JNK,JNK2,GPR6_349_361
ERK,ERK2,GPR6_349_361
JNK,JNK3,GPR6_349_361
JNK,JNK1,GPR6_349_361
P38,P38A,GPR6_349_361
ERK,ERK1,GPR6_349_361
P38,P38G,GPR6_349_361
ERK,ERK5,KCNA2_442_454
ERK,ERK7,MARCS_160_172
ERK,ERK7,NMDZ1_890_902
JNK,JNK3,SRC8_CHICK_423_435
JNK,JNK2,SRC8_CHICK_423_435
ERK,ERK2,SRC8_CHICK_423_435
JNK,JNK1,SRC8_CHICK_423_435
ERK,ERK1,SRC8_CHICK_423_435
P38,P38B,SRC8_CHICK_423_435
P38,P38A,SRC8_CHICK_423_435
P38,P38G,SRC8_CHICK_423_435
P38,P38D,SRC8_CHICK_423_435
ERK,ERK7,SRC8_CHICK_423_435
ERK,ERK5,SRC8_CHICK_423_435
P38,P38D,CSK21_355_367
P38,P38B,CSK21_355_367
P38,P38A,CSK21_355_367
ERK,ERK1,CSK21_355_367
ERK,ERK2,CSK21_355_367
P38,P38G,CSK21_355_367
JNK,JNK2,CSK21_355_367
JNK,JNK1,CSK21_355_367
JNK,JNK3,CSK21_355_367
ERK,ERK5,CSK21_355_367
ERK,ERK7,CSK21_355_367
ERK,ERK7,KCNA3_461_473
ERK,ERK7,RAB1A_187_199
ERK,ERK7,STK6_283_295
ERK,ERK5,MYPC3_268_280
ERK,ERK7,MYPC3_268_280
P38,P38G,ADDB_696_708
ERK,ERK1,ADDB_696_708
P38,P38A,ADDB_696_708
ERK,ERK2,ADDB_696_708
P38,P38B,ADDB_696_708
ERK,ERK7,ADDB_696_708
JNK,JNK1,ADDB_696_708
ERK,ERK7,KCNB1_489_501
P38,P38D,MK10_214_226
P38,P38B,MK10_214_226
P38,P38A,MK10_214_226
ERK,ERK5,MK10_214_226
ERK,ERK2,MK10_214_226
JNK,JNK2,MK10_214_226
ERK,ERK7,MK10_214_226
ERK,ERK1,MK10_214_226
JNK,JNK1,MK10_214_226
ERK,ERK2,RAF1_253_265
JNK,JNK3,RAF1_253_265
JNK,JNK2,RAF1_253_265
ERK,ERK7,VTNC_390_402
ERK,ERK2,ADDB_706_718
P38,P38A,ADDB_706_718
JNK,JNK2,ADDB_706_718
ERK,ERK7,C1R_201_213
ERK,ERK1,C1R_201_213
ERK,ERK2,C1R_201_213
JNK,JNK1,ELK1_356_368
P38,P38B,ELK1_356_368
JNK,JNK3,ELK1_356_368
ERK,ERK2,ELK1_356_368
P38,P38A,ELK1_356_368
JNK,JNK2,ELK1_356_368
P38,P38G,ELK1_356_368
P38,P38D,ELK1_356_368
ERK,ERK7,ELK1_356_368
ERK,ERK5,ELK1_356_368
ERK,ERK7,KIF11_919_931
P38,P38A,KIF11_919_931
P38,P38G,KIF11_919_931
ERK,ERK2,TAU_524_536
JNK,JNK2,TAU_524_536
P38,P38G,TAU_524_536
P38,P38A,TAU_524_536
ERK,ERK1,TAU_524_536
JNK,JNK3,TAU_524_536
JNK,JNK1,TAU_524_536
ERK,ERK7,TAU_524_536
P38,P38D,TAU_524_536
P38,P38B,TAU_524_536
ERK,ERK5,TAU_524_536
ERK,ERK7,CREB1_126_138
ERK,ERK7,AKT1_301_313
P38,P38A,AKT1_301_313
JNK,JNK2,AKT1_301_313
P38,P38D,AKT1_301_313
ERK,ERK2,AKT1_301_313
P38,P38G,AKT1_301_313
P38,P38B,AKT1_301_313
JNK,JNK3,AKT1_301_313
JNK,JNK1,AKT1_301_313
ERK,ERK1,AKT1_301_313
JNK,JNK1,ELK1_410_422
P38,P38D,ELK1_410_422
JNK,JNK3,ELK1_410_422
P38,P38B,ELK1_410_422
P38,P38A,ELK1_410_422
ERK,ERK5,ELK1_410_422
P38,P38G,ELK1_410_422
JNK,JNK2,ELK1_410_422
ERK,ERK2,ELK1_410_422
ERK,ERK1,ELK1_410_422
ERK,ERK7,ELK1_410_422
ERK,ERK7,KIF2C_105_118_S106G
JNK,JNK2,MP2K1_287_299
P38,P38G,MP2K1_287_299
P38,P38A,MP2K1_287_299
JNK,JNK3,MP2K1_287_299
ERK,ERK1,MP2K1_287_299
ERK,ERK2,MP2K1_287_299
JNK,JNK1,MP2K1_287_299
P38,P38B,MP2K1_287_299
ERK,ERK7,MP2K1_287_299
ERK,ERK5,MP2K1_287_299
P38,P38D,MP2K1_287_299
P38,P38G,TLE2_246_258
ERK,ERK1,TLE2_246_258
P38,P38D,TLE2_246_258
P38,P38A,TLE2_246_258
P38,P38B,TLE2_246_258
JNK,JNK1,TLE2_246_258
JNK,JNK3,TLE2_246_258
ERK,ERK2,TLE2_246_258
JNK,JNK2,TLE2_246_258
ERK,ERK5,TLE2_246_258
ERK,ERK7,TLE2_246_258
ERK,ERK7,DESP_2842_2854
ERK,ERK7,H32_3_18
ERK,ERK7,KPCB_19_31_A25S
P38,P38G,MPH6_140_152
ERK,ERK7,MPH6_140_152
JNK,JNK1,MPH6_140_152
JNK,JNK3,MPH6_140_152
P38,P38D,MPH6_140_152
ERK,ERK7,P53_308_323
ERK,ERK2,P53_308_323
ERK,ERK1,P53_308_323
P38,P38G,P53_308_323
P38,P38D,P53_308_323
P38,P38B,P53_308_323
ERK,ERK7,RB_350_362
ERK,ERK2,RB_350_362
ERK,ERK1,RB_350_362
P38,P38G,RB_350_362
P38,P38A,RB_350_362
P38,P38A,E1A_ADE05_212_224
ERK,ERK2,E1A_ADE05_212_224
ERK,ERK5,E1A_ADE05_212_224
P38,P38G,E1A_ADE05_212_224
ERK,ERK1,E1A_ADE05_212_224
P38,P38B,E1A_ADE05_212_224
JNK,JNK2,E1A_ADE05_212_224
JNK,JNK3,E1A_ADE05_212_224
P38,P38D,E1A_ADE05_212_224
ERK,ERK7,E1A_ADE05_212_224
JNK,JNK1,E1A_ADE05_212_224
ERK,ERK7,PLM_76_88
ERK,ERK7,PDE5A_95_107
P38,P38A,PDE5A_95_107
ERK,ERK2,PDE5A_95_107
P38,P38G,PDE5A_95_107
ERK,ERK1,PDE5A_95_107
JNK,JNK3,PDE5A_95_107
JNK,JNK2,PDE5A_95_107
P38,P38B,PDE5A_95_107
ERK,ERK5,RB_774_786
ERK,ERK2,RB_774_786
P38,P38B,RB_774_786
P38,P38A,RB_774_786
P38,P38G,RB_774_786
ERK,ERK1,RB_774_786
JNK,JNK1,RB_774_786
P38,P38D,RB_774_786
JNK,JNK2,RB_774_786
ERK,ERK7,RB_774_786
JNK,JNK3,RB_774_786
JNK,JNK3,KCNA6_504_516
JNK,JNK1,KCNA6_504_516
P38,P38D,KCNA6_504_516
JNK,JNK2,KCNA6_504_516
ERK,ERK7,KCNA6_504_516
P38,P38B,KCNA6_504_516
ERK,ERK2,KCNA6_504_516
P38,P38A,KCNA6_504_516
P38,P38G,KCNA6_504_516
ERK,ERK5,KCNA6_504_516
ERK,ERK1,KCNA6_504_516
ERK,ERK7,CDK7_163_175
JNK,JNK3,CDK7_163_175
ERK,ERK1,CDK7_163_175
P38,P38G,CDK7_163_175
JNK,JNK2,CDK7_163_175
JNK,JNK1,CDK7_163_175
P38,P38A,CDK7_163_175
ERK,ERK2,CDK7_163_175
P38,P38B,CDK7_163_175
ERK,ERK2,MPIP3_208_220
JNK,JNK2,MPIP3_208_220
ERK,ERK1,MPIP3_208_220
ERK,ERK5,MPIP3_208_220
JNK,JNK1,PDPK1_27_39
P38,P38D,PDPK1_27_39
ERK,ERK2,RB_803_815
ERK,ERK5,RB_803_815
ERK,ERK7,RB_803_815
ERK,ERK1,RB_803_815
P38,P38D,RB_803_815
P38,P38G,RB_803_815
P38,P38A,RB_803_815
P38,P38B,RB_803_815
JNK,JNK1,RB_803_815
JNK,JNK2,RB_803_815
ERK,ERK7,PYGL_8_20
