Substrates,Kinases
ANXA1_209_221,TSSK3 SGK1 SIK QSK DAPK1 ROCK2 DMPK1 PKACA DAPK3 MARK2 TSSK4 ROCK1 PASK MRCKB PRKX SGK3 MARK1 PBK CAMK1B AKT1 AKT3 PKACB DCAMKL1 AKT2
ANXA2_17_29,MST3 PKD2 CDKL5 CDK5 MST4 ERK5 PKCT PKD1 P38B PKCB MAPKAPK2 LATS1 MTOR MAPKAPK3 HIPK4 NDR2 YSK4 PKD3 PKCD MAK AURC PKCI BUB1 COT PRKX P38A PKCA ERK1 YSK1 PKACB ZAK CDKL2 MOK TAO3 CLK4 ICK PRP4 MARK4 PKACA TLK2 PKCE MAPKAPK5 MPSK1 SBK CHK1 PKN3 MST2 TRPM6
ART_025_CXGLRRWSLGGLRRWSL,PKG1 PKACA AURA PAK5 PAK4 AURB AKT2 AKT3 AKT1 MSK1 SGK1 PAK6 AURC PKG2 PKACB MRCKB CLK1 MSK2 CLK4 RSK3 PKACG SGK3 PAK2 MYLK4 S6K1 PRKX PAK3 PAK1 MRCKA RSK2 RSK1 HIPK4 S6K2 skMLCK ROCK1 caMLCK RSK4 DAPK2 DAPK1 CHK2 DYRK3 PKN1 PHKG2 WNK3 CAMK1B MNK2 PKD3 DYRK1A CLK3 HIPK1
ATF2_47_59,CDK6 BUB1 CDK5 P38D CDK1 IRE2 P38G IRAK4 TRPM7 P38B CDK4 JNK3 CDK3 CDK13 YANK2 KIS MOK JNK1 IRE1 CDK12 skMLCK P38A DYRK1B MLK3 JNK2 ERK1 ERK2 PKN3 CDK9 YANK3
BCKD_45_57,ALK1 DNAPK COT PDHK4 DCAMKL2 SGK1 MTOR ALK4 DCAMKL1 CITRON MRCKA DSTYK ROCK2 SBK ROCK1 NEK9 CK1A DYRK3 BMPR1B CHK2 TGFBR1 PASK SGK3 PLK3 TSSK2 DYRK1A skMLCK CAMK2G CDKL1 ATM CLK1 smMLCK PLK1 PINK1 S6K1 NEK7 CK1D PKN3 PKD3 MASTL ATR MRCKB MELK CK1E NIK TSSK1 CAMK1D RSK4 GCN2 BMPR2 GRK3 CDKL2 MLK2 WNK4 DAPK2 CLK4 AMPKA1 DAPK1 DLK PKN2 DMPK1
CA2D1_494_506,BUB1 CDK14 ERK7 CDK4 ERK2 CLK4 CLK1 DYRK3 NLK HIPK3 HIPK1 CDK6 caMLCK CDK10 TSSK2 P38A ERK1 smMLCK CDK15 skMLCK DNAPK CDK5 MYLK4 ICK DYRK1A MOK TSSK1 DAPK2 DYRK1B CAMK4 HIPK2 CHK1 DAPK1 MAK CLK3 NEK2 CDK9 MSK1 AURB PAK5 AKT1
CAC1C_1974_1986,MSK1 MSK2 KHS2 CAMK4 HGK CAMK1A AKT2 MYLK4 TNIK CAMK1D KHS1 AKT3 skMLCK PKD3 RSK1 AKT1 CAMK1G MINK DCAMKL2 AURA CDK10 RSK4 PKN3 NEK6 PAK1 CHK2 PKD1 EEF2K TSSK2 PKN2 PKN1 TRPM7 PAK3 PKD2 PKCI PHKG2 AURC PKACA PAK2 HRI YSK1 SBK NEK9 YANK3 PINK1 GCK DSTYK TSSK4 MNK1 CAMK2A PKCE CAMK1B TAO3 AURB DRAK1 PKCT MNK2 CAMK2D PAK6 CLK2
CALD1_746_758,GRK5 JNK3 TRPM6 JNK2 JNK1 CDK1 PINK1 VRK2 ERK2 CHK1 SMG1
CALD1_752_764,JNK2 JNK3 HIPK2 ICK JNK1 P38G KIS CDK1 CDK17 MOK DYRK1B HIPK1 CDK18 DYRK2 CDK16 CDK3 ERK1 P38B DYRK4 CDK12 CDK15 CDK13 ERK2 CDK8 PRP4 HIPK4
CBL_693_705,ULK2 CDK19 JNK3 BMPR1A CDK8 P38G BMPR1B P38D ALK2 P38B ACVR2B HUNK JNK1 TGFBR1 JNK2 ACVR2A ERK2 PLK2 NEK9 ERK1 ALK7 ULK1 CDKL5 CDK4 CK1G2 MOK P38A ALK1 CDK6 GRK3 CDK5 ALK4 CDK12 GRK4
CD27_212_224,CAMK2B MRCKB PKD2 PIM2 PKN3 PIM1 ALK7 ROCK2 ROCK1 WNK2 MRCKA S6K2 NEK6 PRKX SLK RSK2 CLK3 PKCZ MNK2 RSK4 MST4 PKCI PIM3 PKD3 PKCE LOK PKCB NDR1 DCAMKL1 PKN2 PRPK PKACB WNK1 SGK1 FAM20C S6K1 CK2A2 PAK1 COT CK1D TSSK3 PKCG PKACG CK1G2 SGK3 TSSK4 CITRON SRPK2 AURB CK2A1 MNK1 AURC AKT2
CDC2_154_169,CK1G3 SBK PLK2 DMPK1 TLK1 CDKL1 TTBK1 CAMK1B CK1G2 DAPK2 MEKK3 caMLCK PLK3 MEKK2 TSSK2 TTBK2 MLK4 DAPK3 GRK2 CITRON TLK2 CAMK1D
CDK7_163_175,CDK12 DAPK3 CLK2 DAPK1 CDK4 CDK1 DAPK2 CDK10 CDK13 skMLCK CDK6 DMPK1 CDK9 DCAMKL1 CDK5 CHK2 SRPK3 TSSK1 CDK3 TSSK4 SRPK1 TSSK2 CDK18 PKR SSTK CAMK1D CDK17 CDK16 ASK3 SRPK2 CAMK1A P38G CDK19 PASK MAK CDK15 PDK1 JNK2 JNK3 CDK2 SMG1 caMLCK IRAK4 CDK8 MAPKAPK3 ERK1 VRK1 MAPKAPK5 CDK14 MELK
CENPA_1_14,PRKX CLK2 PKACB HIPK2 AURC HIPK1 CLK4 DYRK3 SRPK1 PKACA SRPK2 HIPK4 PAK1 CLK1 CLK3 PKCE PKCA PKCB SGK1 ROCK1 PKCZ HIPK3 AURB ROCK2 PKG2 AKT3 PKCG AKT2 MRCKB RSK2 PKACG PKCT MNK2 MNK1 RSK4 SGK3 PKCD BUB1 DYRK2 MSK2 AKT1 DYRK1B PKCI skMLCK MAK PAK3 PKCH PAK6 MOK
CENPC_725_737,CDK16 CDK17 MPSK1 CDK18 PKD1 P38B RSK1 P38A PKD2
CFTR_730_742,AURA MSK1 PKACA PKD2 PAK5 CDKL5 CLK4 PKD3 PAK4 PAK6 CK2A1 MAPKAPK5 FAM20C CHK2 CK2A2 PKD1 MAPKAPK2 AURB MSK2 CLK1 MYLK4 SBK MAPKAPK3 RSK2 AKT1 PKACB RSK1 TRPM7 CAMK1A CK1E SGK1 MRCKA PAK2 ERK7 PKG1 PKG2 S6K1 CAMK4 MRCKB CAMK1D MLK3 caMLCK AURC MLK1 AKT2
CFTR_761_773,QSK SSTK PKG1 AKT3 AKT1 SIK PKACA MARK3 skMLCK SGK1 MARK1 PKG2 DYRK3 MARK2 SGK3 MSK1 CLK4 PKACB CLK1 AMPKA2 AURB AKT2 MYLK4 PAK2 CAMK1A BRSK1 TSSK1 MARK4 MRCKA PRKX PKACG AMPKA1 BRSK2 QIK CAMK1D MSK2 ROCK1 PAK1 TSSK3 RSK4 AURC DAPK1 MRCKB TSSK4 MELK PAK5 PAK3
CFTR_783_795,MOK PKG1 MAK SGK1 CDK3 CDK2 PKACA MLK3 SBK SGK3 skMLCK PKCE CAMK1A CDKL2 CAMK1D NEK2 SRPK1 MLK1 PIM2 ERK7 ALPHAK3 CDKL5 CDK10 PKD3 RSK2 S6K2 caMLCK smMLCK NEK9 CAMK1B AURB AKT2 AKT1 S6K1 CDKL1 PKACB PKN2 RSK3 PKG2 CLK3 DAPK1 CLK4 PKCT SRPK3 CAMK4 DMPK1 MLK4 ROCK1 PKCI MELK PKACG ICK CHK2 PKCH PKN1 AKT3
CGHB_109_121,SBK DAPK1 SGK1 MSK1 MSK2 PASK CHK2 DYRK1B CAMK1D AKT2 MRCKA DAPK3 CAMK2A HUNK CAMK1B CLK4 TSSK3 MRCKB DAPK2 PAK5 MOS AKT3 PKACA caMLCK RSK2 AURA CHK1 SGK3 CDKL5 PAK6 CDKL2 NEK2 CAMK1A CAMK2B PKACB GRK6 RSK4 DYRK3 MYLK4 CK1G3 AKT1 PKD3 S6K2 PIM1 ROCK2 skMLCK smMLCK PAK3 CDKL1 MAK RSK1
CHK2_377_389,SRPK3 DYRK1B TGFBR2 HIPK1 BUB1 CK1G2 CDK6 PKN3 DYRK4 TSSK2 CDK5 CDK16 CHK1 ALK4 SRPK2 CDK4 ALK1 CDK14 CAMKK1 CDK3 JNK2 TSSK1 DSTYK P38D ACVR2A HIPK3 P38A P38G TBK1 P38B ACVR2B JNK1 PKD1 TLK2 CDK10 DAPK1 PERK DCAMKL1 DYRK2 BMPR2 MOK SSTK CK1G3 CDK9 CAMKK2 JNK3 TGFBR1 CDK17 PRP4
COF1_17_29,DYRK4 DYRK1B MNK2 PKACA PKACB PRKX PIM1 MOK PKACG DYRK3 MSK1 RSK2 CLK2 CAMK2A PKG2 PKD2 AURC S6K2 PAK1 MYLK4 CAMK2B BUB1 SGK3 MRCKA CLK4 SBK PIM3 AURB PASK RSK4 CAMK1B CAMK1D CAMK4 PKD3 SGK1
CREB1_126_138,PKN1 CAMK1A PINK1 PKCE CHK2 CK1G3 MNK1 PERK PKCI RSK3 PKD3 AKT3 NUAK2 PHKG2 SMG1 NUAK1 RSK2 MNK2 CAMK1G PKN2 AKT2 PKCT AKT1 CLK1 CLK4 NEK9 SGK1 PKCD CAMK1D RSK1 MYLK4 PKN3 RSK4 MLK2 PKG2 MSK2 PIM2 CK1G2 TSSK4 BUB1 PKCB PHKG1 CLK3 TSSK1 PKCA CAMK4 SGK3 PKCG SIK PKACA CDKL2 PKCH
CSF1R_701_713,AURA smMLCK MYLK4 CAMK1A AKT1 MSK1 CHK2 AKT3 AKT2 MSK2 PKACA CAMK1D SBK DAPK1 SGK1 CAMK4 skMLCK DYRK3 PKN1 S6K2 S6K1 CLK4 CAMK1G caMLCK PKG2 DAPK3 RSK3 PRKX SGK3 PKACB CAMK1B CLK1 DYRK4 AURB DAPK2 PKG1 CAMK2A RSK4 RSK2 PAK4 PIM2 RSK1 CLK2 MAPKAPK5 MRCKA HIPK3 DYRK1A
CSK21_355_367,IKKB IKKA CK1A P38D PKG2 P38G PAK6 MAPKAPK3 CK1A2 DYRK2 RAF1 P38B JNK1 CDK19 CDC7 DYRK4 MAPKAPK5 BRAF JNK3 CDK14 ERK1 CDK8 CDK17 HIPK1 CDK7
DCX_49_61,PASK PINK1 TAO3 PKCD CDKL1 TSSK3 PKR NUAK1 MLK4 SRPK2 MLK3 ANKRD3 MLK1 RIPK1 NEK5 WNK3 NUAK2 SRPK3 PIM1 PERK NIK COT PKCH MST1 DLK GCK CK1G3 SIK RIPK3 PKCB WNK2 ERK7 MEKK2 PLK1 GAK PKN3 MST2 PKACG PKACB ACVR2A PIM3 RSK2 QSK
DESP_2842_2854,CDK6 MSK1 CDK4 PLK1 CDK5 CAMK2B ACVR2A HIPK1 AAK1 MOK BIKE ACVR2B CDK12 PLK2 CDK14 HIPK4 ALK2 ALK4 HIPK2 CDK13 AKT1 IRE1 PIM1 PKCE RSK1 SRPK1 RSK4 CDK15 AKT3 AKT2 DYRK3 CLK2 PKCI CDK10 CDKL1 PIM2 PKCG CDK9 PRKX VRK2 SRPK2 CAMK1G MSK2 CDKL2 PKCA PKCZ PKCT SRPK3 GAK SGK1 S6K2 DYRK2 DNAPK PKCD PKN2 SGK3 PKN1 DSTYK ERK7 DCAMKL1 MST2 MAK CAMK1D RSK2 HIPK3 WNK1 CDK3 SBK
ELK1_329_341,P38G MAK CDK19 CDK17 CDK18 CDK8 ERK1 CDK12 PKCA JNK2 CDK1 JNK1 CDKL5 GSK3A JNK3 CDK7 P38B MOK CDKL1 HIPK1 CDKL2 PRP4 P38A HIPK2 PLK4 ERK2 CDK5 DNAPK P38D MTOR CDK3 MST4 CDK4 CDK16 ICK CDK13 MNK2 CDK6 COT CDK9 ULK2
ELK1_356_368,JNK1 CHK1 P38G P38B JNK3 JNK2 P38D GCK CDK14 TLK2 P38A ERK2 YANK2 MPSK1 PDHK1 CDK6 TNIK NLK BUB1 RIPK3 CDK5 NEK1
ELK1_410_422,CAMK2D P38D SMG1 CK1D PRP4 CAMK2G JNK1 GRK1 BMPR2 P38B TGFBR1 P38G MAPKAPK5 JNK3 CAMK2B JNK2 MARK2 P38A IKKB ERK2 MAPKAPK3 ERK1 DYRK1B
EPB42_241_253,SIK PKACA SGK1 AKT3 AKT1 PKACB CLK4 PRKX QSK CLK1 PKG1 PKACG skMLCK SGK3 RSK3 AKT2 MRCKB PAK5 PAK4 CLK2 MRCKA AURB AMPKA1 MYLK4 DAPK3 DMPK1 DAPK1 PKG2 smMLCK AURA AMPKA2 AURC RSK4 MARK2 DYRK3 MSK2 HIPK1 MARK3 QIK PAK2 RSK1 MSK1 ROCK1
ERBB2_679_691,PKN1 ROCK1 PIM2 SGK1 AKT3 PKCE PKCI MRCKB SGK3 AKT1 DMPK1 PHKG2 LOK AKT2 KHS2 HPK1 PKN2 ROCK2 SLK TAO1 PKCT PKG2 MRCKA CHK2 CLK3 S6K1 KHS1 PKCH SRPK3 smMLCK CITRON NUAK2 PASK CAMK1G YSK1 PKCB MST3 PKCD TAO2 WNK1 CAMK1A skMLCK PKG1 SRPK2 MYLK4 PHKG1 WNK2 PKCG S6K2 QIK
ERF_519_531,PKG2 ERK7 PKG1 CDK6 AURB CDK4 PKACA P38G skMLCK P38D AURC CDK5 AURA ERK1 CDK12 MSK1 PRP4 CLK2 P38A AKT2 P38B SGK1 PKACB CDK13 CLK4 CDK9 AKT3 CDK1 CDK3 MSK2 CDK16 MYLK4 NLK AKT1 PAK4 ERK2 PAK1 JNK2 PAK3 HIPK2 CDK14 RSK3 CDK2 DYRK4 CDK17 DYRK3 CDK18 SGK3 RSK2 JNK3 MNK2 PAK5 CDK19 HIPK3 MAK RSK4 CDK7 CLK1 DYRK1A S6K1 HIPK1 CDK8 PAK2 JNK1
ESR1_160_172,MAPKAPK2 RSK4 PINK1 RSK2 MPSK1 S6K1 TNIK RSK1 S6K2 AKT2 CAMK2G PIM1 RSK3 TLK2 PIM3 MAPKAPK3 NEK6 PKD2 GCK AKT3 NEK5 SGK1 MINK AKT1 PIM2 PASK HGK SBK MSK2 CDKL1 NUAK2 PKD3 IKKA MAPKAPK5 CDKL2 LRRK2 SRPK3 CAMK1D BRSK1 PKD1 SRPK2 KHS2 CITRON CHK2 SIK MSK1 GRK6 IKKB MST1
F263_454_466,CAMK1A PKD3 SBK PKD2 CAMK1D CHK2 JNK1 PKACA PKG1 JNK3 PKD1 JNK2 CLK4 MSK1 DYRK3 CDK4 CLK1 CDK5 MSK2 MYLK4 ERK2 AKT1 MAPKAPK5 P38A NLK MAPKAPK3 CDK6 AKT2 RSK3 CAMK4 CDK10 AKT3 CDK14 HIPK1 SIK PKACB DYRK2 RSK1 SGK1 PKG2 DYRK4 PAK5 HIPK3 skMLCK MAPKAPK2 AURA RSK2 PRP4
F264_437_449,ERK7 MLK3 MST3 TAK1 NUAK2 NEK2 YSK1 EEF2K TNIK MLK1 MEKK2 ASK1 PKR MINK TAO2 TSSK2 CAMKK1 ASK3 HGK
FIBA_569_581,MNK1 DCAMKL1 PKCT MNK2 GRK3 PKCZ TSSK4 RSK3 PKCB GRK2 CDKL2 PKD3 RSK4 CDKL1 WNK3 NUAK1 DCAMKL2 PKCD RSK2 PKCG PKCE RSK1 PKCH IRAK4 SGK3 MELK NDR1 MLK1 MPSK1 WNK1 AKT1 WNK2 PKD2 PHKG1 PAK3 PKCA AKT2 PKACG CDKL5 PKN2 SRPK1 S6K2 CLK3 PKCI IRE1 TRPM6 AKT3 PIM1 NDR2 RIPK1 LATS1 PAK1 CLK1 COT CLK4
FOXO3_25_37,MAK PINK1 CDKL5 CLK2 CDKL2 HIPK3 HIPK2 HIPK4 CDKL1 HIPK1 DYRK1A PKCZ MOK DCAMKL1 NEK6 WNK2 caMLCK SRPK1 S6K2 PAK2 PIM2 AKT2 RSK1 DYRK3 SRPK2 DYRK2 TSSK3 PAK3 MRCKB WNK1 PIM1 PKCG ICK RSK4 SGK3 AKT3 AMPKA2 NEK2 CDK7 WNK4 IRE1 PKACB MSK2 PIM3 HRI PKCB PASK CLK3 NDR1 RIPK3 CHK2 PAK1 MELK SRPK3 RSK3 PKD3 AMPKA1 CAMK1D AKT1 DYRK1B skMLCK
GBRB2_427_439,GAK CAMK1G DAPK1 PINK1 CLK4 BIKE CLK3 PKD3 HRI AKT1 MNK1 AKT3 DYRK3 AKT2 PKCE PKN1 MEK2 CDK6 SBK MLK4 MELK CLK1 CHK2 PKCI TRPM6 SSTK QSK NEK11 AAK1 MLK3 SIK WNK1 PKN2 MSK1 CAMK1A TAK1 CLK2 SRPK1 NUAK2 skMLCK SRPK2 PKD2 BRSK1 smMLCK PKG2 TSSK2 MLK1 BRSK2 BUB1 SGK1 DCAMKL1 TSSK1 PKCT MNK2 PKCH PIM2 RSK1
GPR6_349_361,DYRK1B BUB1 HIPK2 DYRK4 HIPK1 HIPK3 DYRK3 DYRK2 WNK2 IRE1 SBK CLK2 MAK CDK12 MOK SRPK2 NDR2 JNK2 NEK2 WNK1 ICK LOK SRPK1 CDK9 STK33 P38G MPSK1 CDK10 CAMK2B CDK4 SRPK3 HIPK4 RSK1 JNK3 NDR1 CAMK2A JNK1 CDK13 CDKL2 PIM1 WNK4 CDK15 RSK2 IRAK4 PIM2 CLK3 CDK7 CDC7 TRPM6 CDKL1 GSK3A DYRK1A ERK1 ERK2 PKR SGK1 CAMK1D
GPSM2_394_406,CAMK1D BRSK1 MSK1 CAMK1A MYLK4 TSSK3 QSK AURA PKACA PKACB MSK2 TSSK4 SIK SBK BRSK2 skMLCK PKD3 TSSK1 PKD2 MARK1 AKT2 MARK2 AMPKA2 CLK2 PKD1 PRKX SGK1 CAMK1G MARK3 CAMK2B CLK4 AMPKA1 AKT1 DAPK1 CHK2 MAPKAPK2 TSSK2 MARK4 AURB CAMK2A MNK2 RSK2 CAMK4 SSTK
GRIK1_718_730,CAMK1A ERK7 NEK9 NEK2 SBK CAMK2B DCAMKL1 DCAMKL2 DSTYK MAPKAPK2 CAMK2A ICK PIM1 DAPK3 PERK MLK1 IKKA DMPK1 smMLCK DAPK1 RAF1 PASK CAMK2D PRPK PKN3 MRCKA CAMK1D TRPM6 ROCK1 MAPKAPK3 ULK1 CITRON ULK2 CDKL1 MRCKB PDHK4 CAMK1B skMLCK SMG1 PHKG1 PKD3 MOK AKT2 PKCZ TRPM7 NEK7 GCN2 ROCK2 PKN1 SGK1 CAMK1G MAPKAPK5 MELK PBK
GRIK2_708_720,PKG1 skMLCK CLK1 CLK4 ERK7 PKG2 CDK6 HUNK AURA NEK9 SGK1 PAK5 DAPK1 PAK4 DYRK3 MLK2 MSK2 PAK2 PKACA PKCE PINK1 PKCI CDC7 MSK1 AURB PKCT PKACG PKCH MYLK4 RSK1 RSK2 AKT1 CDK10 PKCZ DSTYK PAK3 PAK6 PERK PKCG DAPK3 PKCD MRCKA DMPK1 WNK1 PKCA PKCB PKN2 PAK1 KHS2 WNK3 YANK3 CAMKK1 SLK IRE1 NEK2 PKN1 HRI RSK4 IRAK4
GSUB_61_73,MAK SBK HIPK1 SGK1 ICK DYRK1B DYRK1A MOK DYRK3 HIPK3 HIPK2 DYRK4 AKT2 DYRK2 CDK10 CDK14 AKT3 CLK2 DMPK1 CLK4 CDKL2 smMLCK S6K2 CLK3 CITRON SRPK1 DAPK3 MRCKB CHK2 CDKL5 SGK3
GYS2_1_13,PERK ALK4 SGK3 CHK2 RSK1 MAPKAPK5 HRI RSK3 SGK1 PKR ULK3 CLK1 GAK CAMK1A LKB1 MAPKAPK3 HIPK3 PKD3 RSK2 MELK AKT1 MSK1 CAMK1D PKN1 MYLK4 HASPIN QIK DCAMKL1 CAMKK1 DYRK3 MSK2 SRPK3 CDKL2 CAMK1G WNK4 CDKL1 RIPK1 CLK4 S6K1 QSK AKT2 AMPKA2 skMLCK PDHK1 PHKG1 MRCKB ICK DCAMKL2 RSK4 CDKL5 AMPKA1 NUAK1 PIM3 PKG2
H2B1B_ 27_40,TBK1 IRAK1 PLK2 IKKE RSK4 PLK3 PKACA S6K2 RSK2 PKG2 RSK3 GRK3 PKACB CAMK1G PRKX S6K1 CK1A PKD3 CAMK1A PKG1 PIM1 RSK1 CAMK1D GCN2 MYLK4 PKACG PIM2 SGK1 GRK4 SRPK1 NDR1 SGK3 CK1D GRK1 TSSK3 PASK TSSK4 DMPK1 PKCH PKD2 CITRON AKT2 smMLCK CAMK1B AURB GRK5 PKN2 CDKL2 PKCD YSK4 PKCT WNK2 IKKB PKCG skMLCK MEKK1 MELK BMPR2 CLK2 MSK1 CHK2
H2B1B_26_38,SGK1 PRKX RSK4 RSK2 PKACB AKT3 PKACA S6K2 SGK3 TSSK3 AKT2 PIM2 PKACG PKG2 CAMK1G S6K1 RSK3 PIM1 CITRON PKD3 MRCKB CAMK1A CAMK1D MRCKA TSSK4 PKN2 RSK1 PKCG PKCE PKG1 AKT1 PKCH PASK MYLK4 NDR1 skMLCK SRPK2 PKD2 PKN1 PKCB PKCT ROCK1 CAMK1B CLK3 CDKL2 PKCD MSK2 CAMK4 WNK2 MSK1 PIM3 MELK MOK MNK1
H32_3_18,ERK7 MAK SBK PAK6 PINK1 MOK ICK PAK5 CLK3 CDKL5 BUB1 PKACB ROCK2 MST4 PKCE ROCK1 PKCI PKCZ AKT2 AKT3 MRCKB PKG2 PKD2 RSK3 CDKL2 CDK3 DCAMKL1 DMPK1 PAK4 PKR PKCB TRPM6 MPSK1 WNK2 RSK2 CLK2 S6K2 CLK4 CDK2 PIM2 LOK AURA PKD3 SGK3 MSK2 YANK2 PKCT SRPK1 MST3 PIM3 PIM1
HS90B_219_231,CK2A2 CK2A1 ALK7 BMPR1B TGFBR1 BMPR1A ALK2 CAMK2B ACVR2B ALK4
INSR_1368_1380,HIPK4 KHS2 WNK2 HPK1 MPSK1 KHS1 CK1E SRPK3 WNK1 MINK GCK IRE1 MRCKB TAK1 CDKL5 CHK2 LOK HGK CDKL1 SRPK1 WNK3 TNIK TAO1 SRPK2 TSSK2 BUB1 TSSK1 MYO3A TAO2 MST3 SLK CLK3 TAO3 ATR PDK1 NEK6 PIM2
K6PL_766_778,CAMK2A ERK7 SRPK3 MLK3 BRSK1 SRPK2 SRPK1 MAPKAPK2 CLK2 MLK4 PERK SBK IRE2 CLK1 IRE1 CAMK2B MAPKAPK3 CLK4 MSK1 CAMK2D AKT2 MRCKA AKT3 PKD3 CLK3 PLK2 MYLK4 CDKL2 PKD2 MLK2 BRSK2 RSK2 AKT1 DCAMKL1 CDKL1 PLK3 RIPK3 WNK1 PIM1 MAPKAPK5 NEK9 NEK2 MRCKB CAMK1D WNK4 PIM2 SGK3 NEK4 smMLCK RSK4 HASPIN IRAK4 NDR2 RSK3 CAMK1A caMLCK
